"Dashboard Title","Panel Title","URL"
"Host 1 Probes to All Hosts","RTT Time (d1-active-metrics)","http://localhost:3000/d/5e46a075-b828-4516-86e2-363181ea5603/host-1-probes-to-all-hosts?viewPanel=1"
"Host 1 Probes to All Hosts","Probe Success Rate (d1-active-metrics)","http://localhost:3000/d/5e46a075-b828-4516-86e2-363181ea5603/host-1-probes-to-all-hosts?viewPanel=2"
"Host 1 Probes to All Hosts","DNS Lookup Time (d1-active-metrics)","http://localhost:3000/d/5e46a075-b828-4516-86e2-363181ea5603/host-1-probes-to-all-hosts?viewPanel=3"
"Host 1 Probes to All Hosts","Total Probe Duration (d1-active-metrics)","http://localhost:3000/d/5e46a075-b828-4516-86e2-363181ea5603/host-1-probes-to-all-hosts?viewPanel=4"
"Host 2 Probes to All Hosts","RTT Time (d2-active-metrics)","http://localhost:3000/d/547b3bc3-a116-44c1-9963-ffd80c7b1391/host-2-probes-to-all-hosts?viewPanel=1"
"Host 2 Probes to All Hosts","Probe Success Rate (d2-active-metrics)","http://localhost:3000/d/547b3bc3-a116-44c1-9963-ffd80c7b1391/host-2-probes-to-all-hosts?viewPanel=2"
"Host 2 Probes to All Hosts","DNS Lookup Time (d2-active-metrics)","http://localhost:3000/d/547b3bc3-a116-44c1-9963-ffd80c7b1391/host-2-probes-to-all-hosts?viewPanel=3"
"Host 2 Probes to All Hosts","Total Probe Duration (d2-active-metrics)","http://localhost:3000/d/547b3bc3-a116-44c1-9963-ffd80c7b1391/host-2-probes-to-all-hosts?viewPanel=4"
"Host 3 Probes to All Hosts","RTT Time (d3-active-metrics)","http://localhost:3000/d/3173c1cc-2f6a-479d-808c-c8bca30270a3/host-3-probes-to-all-hosts?viewPanel=1"
"Host 3 Probes to All Hosts","Probe Success Rate (d3-active-metrics)","http://localhost:3000/d/3173c1cc-2f6a-479d-808c-c8bca30270a3/host-3-probes-to-all-hosts?viewPanel=2"
"Host 3 Probes to All Hosts","DNS Lookup Time (d3-active-metrics)","http://localhost:3000/d/3173c1cc-2f6a-479d-808c-c8bca30270a3/host-3-probes-to-all-hosts?viewPanel=3"
"Host 3 Probes to All Hosts","Total Probe Duration (d3-active-metrics)","http://localhost:3000/d/3173c1cc-2f6a-479d-808c-c8bca30270a3/host-3-probes-to-all-hosts?viewPanel=4"
"Host 4 Probes to All Hosts","RTT Time (d4-active-metrics)","http://localhost:3000/d/f947247b-f764-4cde-be0f-d0be8dc3339c/host-4-probes-to-all-hosts?viewPanel=1"
"Host 4 Probes to All Hosts","Probe Success Rate (d4-active-metrics)","http://localhost:3000/d/f947247b-f764-4cde-be0f-d0be8dc3339c/host-4-probes-to-all-hosts?viewPanel=2"
"Host 4 Probes to All Hosts","DNS Lookup Time (d4-active-metrics)","http://localhost:3000/d/f947247b-f764-4cde-be0f-d0be8dc3339c/host-4-probes-to-all-hosts?viewPanel=3"
"Host 4 Probes to All Hosts","Total Probe Duration (d4-active-metrics)","http://localhost:3000/d/f947247b-f764-4cde-be0f-d0be8dc3339c/host-4-probes-to-all-hosts?viewPanel=4"
